,Tourist Sites,Near_T_Hub,Trans_Dist,Near_GP,GP_Dist,PostCode
130,BALLYSCULLION HOUSE,Magherafelt Bus Station,9.44,Dr. HINDS & PARTNERS                ,5.42,BT45 8AZ
131,SHANES CASTLE,Antrim Bus Station,5.55,Dr. O'HANLON & PARTNERS             ,2.81,BT41 3AE
132,DRUM MANOR (OAKLANDS),Cookstown Bus Station,5.43,Dr. JOHNSTON & PARTNERS             ,4.4,BT41 3TF
133,LISSAN,Cookstown Bus Station,4.16,Dr. JOHNSTON & PARTNERS             ,3.7,BT41 3TF
134,HILL MOUNT,Ballymena Bus Station,6.8,Dr. JOHNSTON & PARTNERS             ,1.74,BT41 3TF
135,BENVARDEN,Ballymoney Rail Station,7.67,Dr. JOHNSTON & PARTNERS             ,6.96,BT41 3TF
136,CRAIGDUN,Ballymena Bus Station,7.62,Dr. JOHNSTON & PARTNERS             ,2.66,BT41 3TF
137,ANTRIM CASTLE GARDENS,Antrim Bus Station,0.78,Dr. THOMPSON & PARTNERS             ,0.68,BT41 4HR
138,THE STEEPLE,Antrim Rail Station,0.72,Dr. THOMPSON & PARTNERS             ,0.69,BT41 4HR
139,DRUM MANOR (OAKLANDS),Cookstown Bus Station,5.43,Dr. JOHNSTON & PARTNERS             ,4.4,BT42 1GP
140,LISSAN,Cookstown Bus Station,4.16,Dr. JOHNSTON & PARTNERS             ,3.7,BT42 1GP
141,HILL MOUNT,Ballymena Bus Station,6.8,Dr. JOHNSTON & PARTNERS             ,1.74,BT42 1GP
142,BENVARDEN,Ballymoney Rail Station,7.67,Dr. JOHNSTON & PARTNERS             ,6.96,BT42 1GP
143,CRAIGDUN,Ballymena Bus Station,7.62,Dr. JOHNSTON & PARTNERS             ,2.66,BT42 1GP
144,GLEBE HOUSE (AHOGHILL),Ballymena Bus Station,6.17,Dr. BUTLER & PARTNERS               ,1.9,BT42 2PB
145,CLEGGAN LODGE,Ballymena Rail Station,13.9,Dr. REDMOND & PARTNERS              ,7.78,BT42 4JA
146,RANDOM COTTAGE,Ballymena Rail Station,3.63,Dr. RUSSELL & PARTNERS              ,3.29,BT43 5BA
147,PEOPLES PARK BALLYMENA,Ballymena Rail Station,0.95,Dr. VERCOE-ROGERS & PARTNERS        ,0.49,BT43 5BY
148,BALLYDRAIN (MALONE GOLF CLUB),Dunmurry Rail Halt,2.5,Dr. DICK & PARTNERS                 ,2.29,BT17 9AL
149,WILMONT (SIR THOMAS AND LADY DIXON PARK),Dunmurry Rail Halt,1.77,Dr. DICK & PARTNERS                 ,1.55,BT17 9AL
150,OAK HILL,Dunmurry Rail Halt,0.98,Dr. DICK & PARTNERS                 ,0.8,BT17 9AL
151,BELVEDERE,Derriaghy Rail Halt,3.77,Dr. DICK & PARTNERS                 ,3.68,BT17 9AL
152,SEYMOUR HILL,Dunmurry Rail Halt,0.85,Dr. DICK & PARTNERS                 ,0.55,BT17 9AL
153,CULTRA MANOR,Cultra Rail Halt,0.83,Dr. GOLDRING & PARTNERS             ,2.54,BT18 9DA
154,LORNE,Cultra Rail Halt,0.76,Dr. GOLDRING & PARTNERS             ,2.84,BT18 9DA
155,GUINCHO,Seahill Rail Halt,0.49,Dr. GOLDRING & PARTNERS             ,5.06,BT18 9DA
156,AMPERTAINE HOUSE (UPPERLANDS),Magherafelt Bus Station,14.06,Dr. SHAW & PARTNERS                 ,4.66,BT46 5EA
157,ROCKWOOD,Magherafelt Bus Station,14.39,Dr. SHAW & PARTNERS                 ,5.25,BT46 5EA
158,TEMPLEMOYLE (MUFF GLEN),L'Derry Rail Station,8.52,Dr. DOHERTY & PARTNERS              ,2.5,BT47 3AB
159,THE OAKS,L'Derry Rail Station,7.87,Dr. GALLAGHER & PARTNERS            ,5.89,BT47 4AB
160,PELLIPAR,Limavady Bus Station,13.19,Dr. KYLE & PARTNER                  ,1.74,BT47 4RS
161,ARDMORE,L'Derry Rail Station,4.41,Dr. MCNEILL & PARTNERS              ,4.33,BT47 6AH
162,ASHBROOK,L'Derry Rail Station,3.2,Dr. MCNEILL & PARTNERS              ,3.13,BT47 6AH
163,BEECH HILL (SKIPTON HALL),L'Derry Rail Station,3.81,Dr. MCNEILL & PARTNERS              ,3.73,BT47 6AH
164,FINNEBROGUE HOUSE,Downpatrick Bus Station,3.39,Dr. BOYLE & PARTNERS                ,3.26,BT47 6AH
165,CROM CASTLE,Enniskillen Bus Station,23.36,Dr. DOLAN & PARTNERS                ,10.22,BT47 6AH
166,BELLE ISLE,Enniskillen Bus Station,10.09,Dr. DOLAN & PARTNERS                ,7.51,BT47 6AH
167,MANOR WATERHOUSE,Enniskillen Bus Station,18.97,Dr. DOLAN & PARTNERS                ,3.48,BT47 6AH
168,DRESTERNAN CASTLE,Enniskillen Bus Station,18.51,Dr. DOLAN & PARTNERS                ,9.24,BT47 6AH
169,KNOCKBALLYMORE,Enniskillen Bus Station,29.89,Dr. DOLAN & PARTNERS                ,14.08,BT47 6AH
170,SEA PARK (SEAPARK) HOUSE,Trooperslane Rail Halt,1.11,Dr. KERNOHAN & PARTNERS             ,1.41,BT38 8TP
171,CASTLE DOBBS,Whitehead Rail Halt,3.22,Dr. GORMAN & PARTNERS               ,3.01,BT38 9TG
172,RED HALL,Ballycarry Rail Halt,1.45,Dr. GORMAN & PARTNERS               ,3.03,BT38 9TG
173,CASTLE UPTON,Antrim Rail Station,7.72,Dr. HUEY & PARTNERS                 ,0.89,BT39 0AZ
174,LOUGHANMORE,Antrim Rail Station,5.83,Dr. HUEY & PARTNERS                 ,2.04,BT39 0AZ
175,FISHERWICK,Ballyclare Bus Station,2.85,Dr. RAFFERTY & PARTNERS             ,2.79,BT39 9HL
176,DRUMNADARRAGH HOUSE,Ballyclare Bus Station,4.55,Dr. RAFFERTY & PARTNERS             ,3.88,BT39 9HL
177,HOLESTONE HOUSE,Ballyclare Bus Station,4.46,Dr. RAFFERTY & PARTNERS             ,4.26,BT39 9HL
178,THE OAKS,L'Derry Rail Station,7.87,Dr. GALLAGHER & PARTNERS            ,5.89,BT4 1NS
179,CARNFUNNOCK COUNTRY PARK,Larne Rail Station,4.85,Dr. BLACK & PARTNERS                ,4.38,BT40 1PB
180,GLENARM CASTLE,Larne Bus Station,13.96,Dr. BLACK & PARTNERS                ,13.5,BT40 1PB
181,KILWAUGHTER CASTLE,Larne Bus Station,4.41,Dr. BLACK & PARTNERS                ,4.59,BT40 1PB
182,CAIRNDHU,Larne Rail Station,5.2,Dr. BLACK & PARTNERS                ,4.74,BT40 1PB
183,MAGHERAMORNE (BALLYLIG),Magheramorne Rail Halt,0.85,Dr. KIRK & PARTNERS                 ,5.02,BT40 1XH
184,DRUMALIS,Larne Rail Station,0.59,Dr. KIRK & PARTNERS                 ,0.53,BT40 1XH
185,CHAINE PARK,Larne Rail Station,1.15,Dr. KIRK & PARTNERS                 ,0.87,BT40 1XH
186,CASTLEWELLAN CASTLE,Newcastle Bus Station,7.35,Dr. LUTTON & PARTNER                ,5.27,BT31 9TU
187,BALLYWARD LODGE,Newcastle Bus Station,12.81,Dr. LUTTON & PARTNER                ,1.04,BT31 9TU
188,BROOKFIELD HOUSE,Banbridge Bus Station,1.3,Dr. MCCLOSKEY & PARTNERS            ,0.85,BT32 3GN
189,LOUGHBRICKLAND HOUSE,Scarva Rail Halt,4.01,Dr. MULLAN & PARTNERS               ,0.54,BT32 3NH
190,SCARVA (SCARVAGH) HOUSE,Scarva Rail Halt,1.39,Dr. MULLAN & PARTNERS               ,3.38,BT32 3NH
191,DROMANTINE HOUSE,Poyntzpass Rail Halt,4.24,Dr. CUPPLES & PARTNERS              ,6.84,BT32 3NQ
192,LISBURN CASTLE GARDENS,Lisburn Bus Station,0.45,Dr. CUPPLES & PARTNERS              ,0.7,BT32 3NQ
193,WALLACE PARK,Lisburn Rail Station,0.45,Dr. CUPPLES & PARTNERS              ,1.15,BT32 3NQ
194,DRUMBANAGHER,Poyntzpass Rail Halt,2.9,Dr. CUPPLES & PARTNERS              ,7.42,BT32 3NQ
195,BROOKHILL,Ballinderry Rail Halt,4.42,Dr. CUPPLES & PARTNERS              ,6.69,BT32 3NQ
196,SPRINGFIELD,Knockmore Rail Halt,3.46,Dr. CUPPLES & PARTNERS              ,5.01,BT32 3NQ
197,TOLLYMORE PARK,Newcastle Bus Station,3.84,Dr. HYLAND & PARTNER                ,3.54,BT33 0DN
198,MONTALTO HOUSE,Downpatrick Bus Station,13.88,Dr. SANDS & PARTNERS                ,0.93,BT24 8AY
199,GILL HALL,Moira Rail Halt,8.49,Dr. BEATTY & PARTNERS               ,3.16,BT25 1NB
200,HILLSBOROUGH CASTLE,Knockmore Rail Halt,6.65,Dr. HALL & PARTNERS                 ,1.34,BT26 6AW
201,LARCHFIELD,Lisburn Bus Station,6.89,Dr. HALL & PARTNERS                 ,6.3,BT26 6AW
202,KILWARLIN MORAVIAN CHURCH,Moira Rail Halt,5.97,Dr. HALL & PARTNERS                 ,3.43,BT26 6AW
203,DROMANTINE HOUSE,Poyntzpass Rail Halt,4.24,Dr. CUPPLES & PARTNERS              ,6.84,BT28 1JP
204,LISBURN CASTLE GARDENS,Lisburn Bus Station,0.45,Dr. CUPPLES & PARTNERS              ,0.7,BT28 1JP
205,WALLACE PARK,Lisburn Rail Station,0.45,Dr. CUPPLES & PARTNERS              ,1.15,BT28 1JP
206,DRUMBANAGHER,Poyntzpass Rail Halt,2.9,Dr. CUPPLES & PARTNERS              ,7.42,BT28 1JP
207,BROOKHILL,Ballinderry Rail Halt,4.42,Dr. CUPPLES & PARTNERS              ,6.69,BT28 1JP
208,SPRINGFIELD,Knockmore Rail Halt,3.46,Dr. CUPPLES & PARTNERS              ,5.01,BT28 1JP
209,MANOR HOUSE (RATHLIN),Portrush Rail Station,30.94,Dr. O'KANE & PARTNERS               ,11.17,BT28 1JP
210,MAGHERINTEMPLE,Ballymoney Rail Station,23.99,Dr. O'KANE & PARTNERS               ,3.52,BT28 1JP
211,ROSTREVOR HOUSE,Newry Bus Station,12.05,Dr. RYAN & PARTNERS                 ,3.36,BT28 1JP
212,NARROW WATER CASTLE,Newry Bus Station,7.55,Dr. RYAN & PARTNERS                 ,2.57,BT28 1JP
213,GREEN PARK,Newry Bus Station,11.37,Dr. RYAN & PARTNERS                 ,2.86,BT28 1JP
214,"KILBRONEY, THE LODGE (GLENMORE)",Newry Bus Station,12.91,Dr. RYAN & PARTNERS                 ,3.85,BT28 1JP
215,BALLYEDMOND (FORT HAMILTON),Newry Bus Station,16.81,Dr. BINGHAM & PARTNERS              ,7.02,BT34 3HS
216,WARRENPOINT PARK,Newry Bus Station,10.25,Dr. BINGHAM & PARTNERS              ,0.14,BT34 3HS
217,ROSTREVOR HOUSE,Newry Bus Station,12.05,Dr. RYAN & PARTNERS                 ,3.36,BT34 3JD
218,NARROW WATER CASTLE,Newry Bus Station,7.55,Dr. RYAN & PARTNERS                 ,2.57,BT34 3JD
219,GREEN PARK,Newry Bus Station,11.37,Dr. RYAN & PARTNERS                 ,2.86,BT34 3JD
220,"KILBRONEY, THE LODGE (GLENMORE)",Newry Bus Station,12.91,Dr. RYAN & PARTNERS                 ,3.85,BT34 3JD
221,MOURNE PARK,Newcastle Bus Station,18.24,Dr. POOTS & PARTNERS                ,3.89,BT34 4DN
222,BROOKE PARK,L'Derry Bus Station,0.76,Dr. DOHERTY & PARTNER               ,0.36,BT48 7ER
223,ST. COLUMBS,L'Derry Bus Station,0.8,Dr. DURAND & PARTNERS               ,0.76,BT48 7NN
224,ABERFOYLE,L'Derry Bus Station,0.76,Dr. DURAND & PARTNERS               ,0.14,BT48 7NN
225,BOOM HALL,L'Derry Bus Station,3.12,Dr. DEANE & PARTNER                 ,1.21,BT48 8NL
226,ENAGH HOUSE,L'Derry Bus Station,3.98,Dr. DEANE & PARTNER                 ,2.85,BT48 8NL
227,BROOK HALL,L'Derry Bus Station,3.96,Dr. DEANE & PARTNER                 ,1.67,BT48 8NL
228,GLENGALLIAGH HALL,L'Derry Bus Station,4.43,Dr. DEANE & PARTNER                 ,2.23,BT48 8NL
229,THORNHILL,L'Derry Bus Station,4.99,Dr. DEANE & PARTNER                 ,2.61,BT48 8NL
230,BALLYARNET,L'Derry Bus Station,4.87,Dr. DEANE & PARTNER                 ,1.75,BT48 8NL
231,CARNFUNNOCK COUNTRY PARK,Larne Rail Station,4.85,Dr. BLACK & PARTNERS                ,4.38,BT48 9DN
232,GLENARM CASTLE,Larne Bus Station,13.96,Dr. BLACK & PARTNERS                ,13.5,BT48 9DN
233,KILWAUGHTER CASTLE,Larne Bus Station,4.41,Dr. BLACK & PARTNERS                ,4.59,BT48 9DN
234,CAIRNDHU,Larne Rail Station,5.2,Dr. BLACK & PARTNERS                ,4.74,BT48 9DN
235,DRENAGH,Limavady Bus Station,1.97,Dr. OLLERENSHAW & PARTNERS          ,1.56,BT49 0TE
236,DOG LEAP,Limavady Bus Station,3.25,Dr. OLLERENSHAW & PARTNERS          ,2.01,BT49 0TE
237,ROE VALLEY PARK,Limavady Bus Station,2.86,Dr. OLLERENSHAW & PARTNERS          ,1.93,BT49 0TE
238,ANTRIM CASTLE GARDENS,Antrim Bus Station,0.78,Dr. THOMPSON & PARTNERS             ,0.68,BT5 4FT
239,THE STEEPLE,Antrim Rail Station,0.72,Dr. THOMPSON & PARTNERS             ,0.69,BT5 4FT
240,BROOKFIELD HOUSE,Banbridge Bus Station,1.3,Dr. MCCLOSKEY & PARTNERS            ,0.85,BT5 4NH
241,BLESSINGBOURNE,Enniskillen Bus Station,22.09,Dr. ELLIOTT & PARTNER               ,1.11,BT75 0ND
242,AUGHENTAINE CASTLE,Omagh Bus Station,21.25,Dr. ELLIOTT & PARTNER               ,4.25,BT75 0ND
243,CLOGHER PARK,Omagh Bus Station,23.2,Dr. ELLIOTT & PARTNER               ,10.22,BT75 0ND
244,DAISY HILL,Omagh Bus Station,22.55,Dr. ELLIOTT & PARTNER               ,7.88,BT75 0ND
245,FARDROSS,Omagh Bus Station,24.29,Dr. ELLIOTT & PARTNER               ,7.99,BT75 0ND
246,KILLYFADDY MANOR,Omagh Bus Station,20.15,Dr. ELLIOTT & PARTNER               ,9.99,BT75 0ND
247,BARONS COURT,Omagh Bus Station,13.55,Dr. RITCHIE & PARTNER               ,9.21,BT78 4SB
248,MANOR HOUSE (RATHLIN),Portrush Rail Station,30.94,Dr. O'KANE & PARTNERS               ,11.17,BT54 6BA
249,MAGHERINTEMPLE,Ballymoney Rail Station,23.99,Dr. O'KANE & PARTNERS               ,3.52,BT54 6BA
250,CROMORE,Portrush Dhu Varren Rail Halt,3.07,Dr. TURKINGTON & PARTNERS           ,1.1,BT55 7SW
251,BALLYLOUGH HOUSE,Portrush Rail Station,9.6,Dr. JONES & PARTNERS                ,3.49,BT57 8QP
